ReservationID,CustomerID,FlightInstanceID,Status
R0117,267,11,reserved
R0118,494,11,reserved
R0119,485,11,waitlist
R0120,90,11,waitlist
R0121,225,11,reserved
R0122,436,11,waitlist
R0123,412,11,reserved
R0124,18,12,waitlist
R0125,262,12,reserved
R0126,119,12,waitlist
R0127,346,12,reserved
R0128,123,12,waitlist
R0129,500,12,reserved
R0130,142,12,waitlist
R0131,181,12,waitlist
R0132,208,12,reserved
R0133,266,12,reserved
R0134,361,12,reserved
R0135,282,13,reserved
R0136,425,13,reserved
R0137,299,13,reserved
R0138,494,13,flown
R0139,116,13,waitlist
R0140,100,13,reserved
R0141,207,13,reserved
R0142,134,13,reserved
R0143,260,13,reserved
R0144,38,13,reserved
R0145,485,14,reserved
R0146,263,14,flown
R0147,449,14,reserved
R0148,407,14,reserved
R0149,356,14,reserved
R0150,194,14,reserved
R0151,395,14,reserved
R0152,174,14,flown
R0153,235,14,waitlist
R0154,460,14,reserved
R0155,15,14,reserved
R0156,133,14,reserved
R0157,404,15,flown
R0158,347,15,waitlist
R0159,410,15,reserved
R0160,490,15,reserved
R0161,275,15,reserved
R0162,427,15,reserved
R0163,148,15,reserved
R0164,345,15,waitlist
R0165,176,15,reserved
R0166,477,15,reserved
R0167,161,15,reserved
R0168,458,15,reserved
R0169,94,15,flown
R0170,350,15,flown
R0171,98,15,reserved
R0172,121,16,waitlist
R0173,447,16,reserved
R0174,118,16,reserved
R0175,128,16,flown
R0176,183,16,reserved
R0177,55,16,reserved
R0178,41,16,waitlist
R0179,340,16,reserved
R0180,4,16,waitlist
R0181,278,16,flown
R0182,435,16,reserved
R0183,162,17,reserved
R0184,452,17,flown
R0185,445,17,reserved
R0186,94,17,flown
R0187,469,17,reserved
R0188,204,17,reserved
R0189,296,17,reserved
R0190,270,17,waitlist
R0191,245,17,flown
R0192,17,17,reserved
R0193,202,17,flown
R0194,398,17,reserved
R0195,500,17,reserved
R0196,266,17,reserved
R0197,5,18,reserved
R0198,108,18,reserved
R0199,52,18,reserved
R0200,314,18,flown
R0201,96,18,reserved
R0202,122,18,reserved
R0203,491,18,waitlist
R0204,188,18,reserved
R0205,218,18,reserved
R0206,359,18,waitlist
R0207,187,18,flown
R0208,144,18,reserved
R0209,293,18,reserved
R0210,295,18,waitlist
R0211,417,18,reserved
R0212,412,19,reserved
R0213,222,19,flown
R0214,101,19,reserved
R0215,492,19,waitlist
R0216,243,19,flown
R0217,91,19,reserved
R0218,69,19,flown
R0219,435,19,waitlist
R0220,274,19,waitlist
R0221,403,19,reserved
R0222,129,19,reserved
R0223,291,19,reserved
R0224,354,20,reserved
R0225,111,20,flown
R0226,244,20,flown
R0227,50,20,reserved
R0228,172,20,reserved
R0229,185,20,reserved
R0230,478,20,flown
R0231,177,20,reserved
R0232,63,20,reserved
R0233,348,20,flown
R0234,296,21,reserved
R0235,333,21,reserved
R0236,400,21,reserved
R0237,167,21,waitlist
R0238,250,21,waitlist
R0239,229,21,flown
R0240,196,21,waitlist
R0241,238,21,waitlist
R0242,75,21,flown
R0243,328,21,flown
R0244,173,21,reserved
R0245,293,22,reserved
R0246,465,22,reserved
R0247,83,22,reserved
R0248,161,22,reserved
R0249,150,22,waitlist
R0250,310,22,waitlist
R0251,139,22,flown
R0252,400,22,flown
R0253,186,22,waitlist
R0254,267,22,flown
R0255,212,22,reserved
R0256,438,22,reserved
R0257,373,22,reserved
R0258,129,22,flown
R0259,384,23,reserved
R0260,86,23,reserved
R0261,49,23,reserved
R0262,450,23,reserved
R0263,28,23,reserved
R0264,204,23,reserved
R0265,43,23,reserved
R0266,317,23,reserved
R0267,336,23,flown
R0268,200,23,reserved
R0269,127,23,waitlist
R0270,227,23,waitlist
R0271,68,23,reserved
R0272,88,23,reserved
R0273,340,23,reserved
R0274,443,24,reserved
R0275,500,24,flown
R0276,479,24,reserved
R0277,228,24,reserved
R0278,486,24,waitlist
R0279,91,24,reserved
R0280,234,24,waitlist
R0281,326,24,flown
R0282,223,24,reserved
R0283,328,24,reserved
R0284,466,24,reserved
R0285,277,24,reserved
R0286,227,25,reserved
R0287,212,25,reserved
R0288,156,25,reserved
R0289,268,25,flown
R0290,435,25,reserved
R0291,147,25,reserved
R0292,5,25,waitlist
R0293,252,25,flown
R0294,245,25,reserved
R0295,393,25,reserved
R0296,306,26,reserved
R0297,4,26,reserved
R0298,97,26,reserved
R0299,288,26,reserved
R0300,128,26,reserved
R0301,378,26,waitlist
R0302,425,26,reserved
R0303,135,26,reserved
R0304,321,26,reserved
R0305,392,26,waitlist
R0306,314,26,flown
R0307,351,26,reserved
R0308,381,27,reserved
R0309,138,27,reserved
R0310,437,27,reserved
R0311,70,27,reserved
R0312,327,27,reserved
R0313,232,27,reserved
R0314,319,27,reserved
R0315,165,27,reserved
R0316,26,27,flown
R0317,12,27,reserved
R0318,53,27,reserved
R0319,65,27,waitlist
R0320,373,27,reserved
R0321,47,27,reserved
R0322,253,27,reserved
R0323,160,28,waitlist
R0324,256,28,flown
R0325,238,28,waitlist
R0326,17,28,reserved
R0327,432,28,waitlist
R0328,75,28,reserved
R0329,398,28,reserved
R0330,279,28,reserved
R0331,99,28,flown
R0332,129,28,flown
R0333,425,28,reserved
R0334,499,28,waitlist
R0335,128,28,reserved
R0336,127,29,waitlist
R0337,18,29,reserved
R0338,377,29,waitlist
R0339,267,29,waitlist
R0340,107,29,reserved
R0341,349,29,flown
R0342,480,29,reserved
R0343,323,29,waitlist
R0344,382,29,flown
R0345,267,29,reserved
R0346,247,29,waitlist
R0347,102,29,reserved
R0348,27,29,flown
R0349,499,30,reserved
R0350,325,30,reserved
R0351,8,30,reserved
R0352,142,30,reserved
R0353,203,30,waitlist
R0354,5,30,flown
R0355,298,30,waitlist
R0356,244,30,waitlist
R0357,80,30,reserved
R0358,46,30,reserved
R0359,256,30,reserved
R0360,174,31,flown
R0361,389,31,waitlist
R0362,31,31,reserved
R0363,79,31,waitlist
R0364,406,31,reserved
R0365,250,31,reserved
R0366,286,31,waitlist
R0367,388,31,reserved
R0368,457,31,reserved
R0369,99,31,reserved
R0370,194,31,reserved
R0371,69,31,reserved
R0372,21,31,reserved
R0373,225,31,reserved
R0374,357,32,reserved
R0375,291,32,reserved
R0376,179,32,reserved
R0377,240,32,reserved
R0378,426,32,reserved
R0379,441,32,reserved
R0380,36,32,reserved
R0381,231,32,reserved
R0382,135,32,reserved
R0383,233,32,reserved
R0384,327,32,reserved
R0385,376,32,reserved
R0386,10,32,waitlist
R0387,187,32,waitlist
R0388,165,33,waitlist
R0389,338,33,flown
R0390,420,33,reserved
R0391,269,33,waitlist
R0392,393,33,reserved
R0393,314,33,reserved
R0394,210,33,waitlist
R0395,57,33,reserved
R0396,338,33,reserved
R0397,428,33,flown
R0398,92,33,flown
R0399,55,34,reserved
R0400,51,34,reserved
R0401,329,34,flown
R0402,337,34,reserved
R0403,320,34,waitlist
R0404,132,34,reserved
R0405,114,34,waitlist
R0406,37,34,reserved
R0407,472,34,reserved
R0408,252,34,flown
R0409,427,34,reserved
R0410,32,35,reserved
R0411,381,35,flown
R0412,213,35,flown
R0413,407,35,waitlist
R0414,422,35,waitlist
R0415,271,35,reserved
R0416,37,35,flown
R0417,40,35,flown
R0418,492,35,reserved
R0419,52,35,waitlist
R0420,273,35,reserved
R0421,99,35,reserved
R0422,128,35,reserved
R0423,486,35,reserved
R0424,384,35,reserved
R0425,55,36,waitlist
R0426,296,36,reserved
R0427,235,36,waitlist
R0428,219,36,flown
R0429,86,36,waitlist
R0430,282,36,reserved
R0431,173,36,waitlist
R0432,274,36,flown
R0433,227,36,flown
R0434,463,36,reserved
R0435,167,36,flown
R0436,212,36,waitlist
R0437,221,36,flown
R0438,166,36,waitlist
R0439,289,36,reserved
R0440,393,37,reserved
R0441,382,37,reserved
R0442,493,37,reserved
R0443,492,37,reserved
R0444,372,37,reserved
R0445,146,37,reserved
R0446,266,37,reserved
R0447,456,37,reserved
R0448,154,37,flown
R0449,110,37,flown
R0450,12,37,waitlist
R0451,483,37,waitlist
R0452,142,37,flown
R0453,285,38,reserved
R0454,293,38,reserved
R0455,20,38,reserved
R0456,80,38,reserved
R0457,188,38,flown
R0458,128,38,reserved
R0459,416,38,reserved
R0460,293,38,reserved
R0461,470,38,reserved
R0462,40,38,waitlist
R0463,406,38,reserved
R0464,250,38,flown
R0465,354,38,waitlist
R0466,420,38,flown
R0467,329,39,reserved
R0468,375,39,flown
R0469,196,39,reserved
R0470,29,39,flown
R0471,172,39,reserved
R0472,419,39,reserved
R0473,477,39,flown
R0474,446,39,waitlist
R0475,383,39,waitlist
R0476,309,39,flown
R0477,325,39,waitlist
R0478,196,39,reserved
R0479,269,39,reserved
R0480,277,39,reserved
R0481,258,40,waitlist
R0482,79,40,reserved
R0483,375,40,flown
R0484,498,40,reserved
R0485,305,40,reserved
R0486,47,40,reserved
R0487,149,40,waitlist
R0488,76,40,reserved
R0489,43,40,reserved
R0490,382,40,reserved
R0491,205,40,reserved
R0492,205,40,reserved
R0493,67,41,waitlist
R0494,247,41,reserved
R0495,250,41,reserved
R0496,293,41,reserved
R0497,316,41,flown
R0498,269,41,reserved
R0499,37,41,reserved
R0500,221,41,reserved
R0501,474,41,reserved
R0502,58,41,waitlist
R0503,217,41,reserved
R0504,98,41,reserved
R0505,305,41,waitlist
R0506,395,41,reserved
R0507,180,41,waitlist
R0508,320,42,reserved
R0509,23,42,flown
R0510,120,42,reserved
R0511,192,42,reserved
R0512,373,42,flown
R0513,58,42,waitlist
R0514,125,42,flown
R0515,475,42,reserved
R0516,427,42,flown
R0517,8,42,reserved
R0518,412,42,reserved
R0519,231,42,reserved
R0520,170,42,reserved
R0521,109,43,reserved
R0522,268,43,waitlist
R0523,281,43,reserved
R0524,374,43,flown
R0525,356,43,waitlist
R0526,10,43,reserved
R0527,464,43,waitlist
R0528,23,43,reserved
R0529,31,43,reserved
R0530,405,43,waitlist
R0531,139,43,reserved
R0532,336,43,flown
R0533,35,43,reserved
R0534,139,43,waitlist
R0535,185,44,flown
R0536,10,44,reserved
R0537,453,44,waitlist
R0538,119,44,flown
R0539,261,44,flown
R0540,51,44,flown
R0541,249,44,flown
R0542,273,44,reserved
R0543,102,44,reserved
R0544,235,44,reserved
R0545,365,44,reserved
R0546,127,44,flown
R0547,157,44,reserved
R0548,202,44,waitlist
R0549,10,44,reserved
R0550,182,45,waitlist
R0551,121,45,flown
R0552,257,45,reserved
R0553,32,45,waitlist
R0554,450,45,reserved
R0555,418,45,flown
R0556,484,45,reserved
R0557,144,45,reserved
R0558,175,45,flown
R0559,337,45,reserved
R0560,374,45,reserved
R0561,492,45,waitlist
R0562,352,46,reserved
R0563,124,46,reserved
R0564,219,46,flown
R0565,466,46,waitlist
R0566,230,46,reserved
R0567,106,46,waitlist
R0568,298,46,reserved
R0569,410,46,reserved
R0570,71,46,reserved
R0571,362,46,flown
R0572,466,46,reserved
R0573,466,46,flown
R0574,75,46,waitlist
R0575,290,46,flown
R0576,163,46,reserved
R0577,486,47,waitlist
R0578,95,47,reserved
R0579,451,47,reserved
R0580,16,47,waitlist
R0581,451,47,flown
R0582,493,47,reserved
R0583,227,47,waitlist
R0584,421,47,flown
R0585,478,47,waitlist
R0586,78,47,waitlist
R0587,55,47,reserved
R0588,14,47,waitlist
R0589,314,47,waitlist
R0590,311,47,reserved
R0591,306,48,reserved
R0592,352,48,reserved
R0593,41,48,waitlist
R0594,245,48,reserved
R0595,434,48,waitlist
R0596,365,48,waitlist
R0597,95,48,flown
R0598,252,48,reserved
R0599,84,48,reserved
R0600,17,48,reserved
R0601,497,48,reserved
R0602,487,49,reserved
R0603,381,49,waitlist
R0604,104,49,waitlist
R0605,34,49,reserved
R0606,489,49,flown
R0607,444,49,waitlist
R0608,353,49,reserved
R0609,235,49,flown
R0610,219,49,reserved
R0611,22,49,waitlist
R0612,423,49,reserved
R0613,161,49,reserved
R0614,293,50,reserved
R0615,269,50,waitlist
R0616,361,50,waitlist
R0617,267,50,reserved
R0618,234,50,flown
R0619,22,50,flown
R0620,126,50,reserved
R0621,203,50,flown
R0622,21,50,reserved
R0623,265,50,waitlist
R0624,493,50,reserved
R0625,150,50,reserved
R0626,453,50,reserved
R0627,424,50,reserved
R0628,86,50,reserved
R0629,471,51,reserved
R0630,265,51,flown
R0631,238,51,flown
R0632,232,51,reserved
R0633,257,51,reserved
R0634,399,51,reserved
R0635,458,51,waitlist
R0636,70,51,reserved
R0637,166,51,reserved
R0638,92,51,reserved
R0639,460,51,waitlist
R0640,104,51,flown
R0641,47,51,reserved
R0642,355,51,waitlist
R0643,408,52,reserved
R0644,376,52,reserved
R0645,59,52,waitlist
R0646,325,52,reserved
R0647,269,52,waitlist
R0648,373,52,waitlist
R0649,262,52,waitlist
R0650,82,52,reserved
R0651,195,52,reserved
R0652,88,52,flown
R0653,290,52,flown
R0654,442,52,reserved
R0655,445,52,reserved
R0656,394,52,waitlist
R0657,215,52,reserved
R0658,394,53,flown
R0659,148,53,waitlist
R0660,61,53,flown
R0661,492,53,reserved
R0662,319,53,waitlist
R0663,7,53,reserved
R0664,438,53,reserved
R0665,414,53,reserved
R0666,452,53,reserved
R0667,112,53,reserved
R0668,244,53,reserved
R0669,227,53,reserved
R0670,308,53,reserved
R0671,452,53,reserved
R0672,318,53,waitlist
R0673,26,54,reserved
R0674,29,54,waitlist
R0675,19,54,reserved
R0676,17,54,waitlist
R0677,430,54,waitlist
R0678,170,54,flown
R0679,26,54,reserved
R0680,92,54,reserved
R0681,146,54,waitlist
R0682,355,54,waitlist
R0683,294,54,waitlist
R0684,495,55,reserved
R0685,297,55,reserved
R0686,19,55,reserved
R0687,154,55,reserved
R0688,460,55,reserved
R0689,35,55,waitlist
R0690,432,55,reserved
R0691,150,55,reserved
R0692,63,55,waitlist
R0693,141,55,reserved
R0694,212,55,reserved
R0695,108,56,waitlist
R0696,56,56,reserved
R0697,323,56,reserved
R0698,45,56,reserved
R0699,353,56,waitlist
R0700,404,56,flown
R0701,148,56,reserved
R0702,435,56,reserved
R0703,270,56,reserved
R0704,320,56,reserved
R0705,67,56,waitlist
R0706,255,56,reserved
R0707,324,56,reserved
R0708,414,56,reserved
R0709,313,56,reserved
R0710,100,57,reserved
R0711,13,57,reserved
R0712,408,57,reserved
R0713,435,57,reserved
R0714,316,57,flown
R0715,212,57,reserved
R0716,180,57,reserved
R0717,327,57,reserved
R0718,328,57,reserved
R0719,145,57,reserved
R0720,35,57,reserved
R0721,260,57,reserved
R0722,59,58,waitlist
R0723,175,58,reserved
R0724,292,58,waitlist
R0725,15,58,flown
R0726,100,58,reserved
R0727,174,58,flown
R0728,246,58,flown
R0729,409,58,reserved
R0730,70,58,reserved
R0731,322,58,reserved
R0732,459,59,reserved
R0733,402,59,flown
R0734,476,59,waitlist
R0735,428,59,reserved
R0736,290,59,waitlist
R0737,162,59,reserved
R0738,10,59,reserved
R0739,351,59,reserved
R0740,470,59,flown
R0741,182,59,reserved
R0742,77,59,reserved
R0743,16,59,reserved
R0744,193,59,waitlist
R0745,432,59,reserved
R0746,200,60,reserved
R0747,60,60,flown
R0748,385,60,reserved
R0749,440,60,reserved
R0750,17,60,reserved
R0751,45,60,reserved
R0752,122,60,reserved
R0753,425,60,flown
R0754,111,60,reserved
R0755,90,60,reserved
R0756,402,60,reserved
R0757,104,60,flown
R0758,228,60,reserved
R0759,410,60,reserved
R0760,79,61,reserved
R0761,473,61,reserved
R0762,448,61,reserved
R0763,398,61,reserved
R0764,394,61,flown
R0765,421,61,flown
R0766,265,61,waitlist
R0767,68,61,reserved
R0768,19,61,reserved
R0769,366,61,flown
R0770,60,61,reserved
R0771,478,61,reserved
R0772,435,61,reserved
R0773,45,61,reserved
R0774,53,62,reserved
R0775,338,62,waitlist
R0776,12,62,reserved
R0777,160,62,waitlist
R0778,108,62,reserved
R0779,99,62,reserved
R0780,273,62,reserved
R0781,226,62,waitlist
R0782,140,62,reserved
R0783,141,62,reserved
R0784,287,63,reserved
R0785,106,63,reserved
R0786,282,63,reserved
R0787,73,63,flown
R0788,412,63,reserved
R0789,126,63,reserved
R0790,160,63,waitlist
R0791,174,63,reserved
R0792,26,63,reserved
R0793,242,63,flown
R0794,26,63,reserved
R0795,28,63,reserved
R0796,201,63,reserved
R0797,306,63,flown
R0798,429,64,waitlist
R0799,229,64,waitlist
R0800,160,64,reserved
R0801,102,64,waitlist
R0802,344,64,flown
R0803,41,64,flown
R0804,387,64,waitlist
R0805,291,64,reserved
R0806,417,64,flown
R0807,358,64,reserved
R0808,234,64,reserved
R0809,330,64,waitlist
R0810,239,64,reserved
R0811,486,64,reserved
R0812,441,64,flown
R0813,468,65,reserved
R0814,94,65,waitlist
R0815,341,65,reserved
R0816,441,65,flown
R0817,233,65,reserved
R0818,34,65,reserved
R0819,180,65,reserved
R0820,434,65,reserved
R0821,394,65,reserved
R0822,295,65,reserved
R0823,53,65,reserved
R0824,366,65,waitlist
R0825,285,66,waitlist
R0826,406,66,reserved
R0827,237,66,reserved
R0828,212,66,reserved
R0829,125,66,reserved
R0830,499,66,reserved
R0831,34,66,reserved
R0832,417,66,waitlist
R0833,221,66,waitlist
R0834,223,66,reserved
R0835,176,66,reserved
R0836,121,66,reserved
R0837,40,67,waitlist
R0838,365,67,reserved
R0839,250,67,reserved
R0840,306,67,reserved
R0841,285,67,reserved
R0842,228,67,reserved
R0843,490,67,reserved
R0844,307,67,reserved
R0845,417,67,reserved
R0846,420,67,reserved
R0847,254,67,waitlist
R0848,32,67,reserved
R0849,419,67,reserved
R0850,298,67,flown
R0851,326,67,flown
R0852,339,68,reserved
R0853,273,68,reserved
R0854,316,68,reserved
R0855,101,68,reserved
R0856,450,68,reserved
R0857,292,68,waitlist
R0858,348,68,reserved
R0859,483,68,flown
R0860,368,68,flown
R0861,177,68,flown
R0862,299,68,reserved
R0863,207,69,flown
R0864,437,69,reserved
R0865,190,69,flown
R0866,496,69,reserved
R0867,361,69,reserved
R0868,184,69,reserved
R0869,145,69,flown
R0870,121,69,reserved
R0871,303,69,reserved
R0872,163,69,waitlist
R0873,208,69,reserved
R0874,280,69,reserved
R0875,89,69,reserved
R0876,97,69,reserved
R0877,431,70,reserved
R0878,148,70,flown
R0879,344,70,reserved
R0880,6,70,reserved
R0881,9,70,reserved
R0882,454,70,reserved
R0883,224,70,flown
R0884,70,70,reserved
R0885,329,70,flown
R0886,441,70,reserved
R0887,404,70,waitlist
R0888,477,70,reserved
R0889,233,71,reserved
R0890,283,71,flown
R0891,197,71,reserved
R0892,96,71,reserved
R0893,4,71,reserved
R0894,434,71,waitlist
R0895,365,71,reserved
R0896,211,71,flown
R0897,296,71,reserved
R0898,20,71,reserved
R0899,361,71,reserved
R0900,247,72,flown
R0901,41,72,reserved
R0902,375,72,reserved
R0903,440,72,flown
R0904,399,72,reserved
R0905,265,72,reserved
R0906,456,72,waitlist
R0907,126,72,reserved
R0908,380,72,waitlist
R0909,343,72,reserved
R0910,325,72,reserved
R0911,297,72,reserved
R0912,28,72,flown
R0913,274,72,waitlist
R0914,233,73,reserved
R0915,241,73,reserved
R0916,170,73,reserved
R0917,492,73,flown
R0918,151,73,reserved
R0919,19,73,waitlist
R0920,306,73,waitlist
R0921,373,73,waitlist
R0922,134,73,reserved
R0923,243,73,reserved
R0924,294,73,reserved
R0925,150,73,flown
R0926,320,73,reserved
R0927,43,74,reserved
R0928,40,74,flown
R0929,143,74,reserved
R0930,316,74,reserved
R0931,440,74,reserved
R0932,380,74,reserved
R0933,90,74,flown
R0934,379,74,reserved
R0935,229,74,reserved
R0936,90,74,reserved
R0937,359,74,reserved
R0938,93,74,waitlist
R0939,442,74,reserved
R0940,496,75,reserved
R0941,479,75,flown
R0942,429,75,reserved
R0943,212,75,waitlist
R0944,122,75,waitlist
R0945,372,75,waitlist
R0946,108,75,reserved
R0947,432,75,reserved
R0948,329,75,reserved
R0949,420,75,reserved
R0950,238,76,reserved
R0951,155,76,reserved
R0952,486,76,waitlist
R0953,273,76,reserved
R0954,350,76,waitlist
R0955,243,76,reserved
R0956,272,76,flown
R0957,7,76,reserved
R0958,409,76,reserved
R0959,348,76,reserved
R0960,272,76,waitlist
R0961,50,77,flown
R0962,327,77,reserved
R0963,433,77,reserved
R0964,471,77,waitlist
R0965,140,77,reserved
R0966,137,77,flown
R0967,131,77,waitlist
R0968,201,77,reserved
R0969,346,77,waitlist
R0970,376,77,waitlist
R0971,267,78,reserved
R0972,354,78,flown
R0973,161,78,reserved
R0974,345,78,reserved
R0975,35,78,reserved
R0976,51,78,reserved
R0977,351,78,reserved
R0978,113,78,waitlist
R0979,129,78,reserved
R0980,13,78,waitlist
R0981,30,78,flown
R0982,458,79,flown
R0983,487,79,reserved
R0984,63,79,waitlist
R0985,62,79,reserved
R0986,310,79,reserved
R0987,337,79,waitlist
R0988,332,79,reserved
R0989,496,79,reserved
R0990,57,79,waitlist
R0991,130,79,reserved
R0992,339,79,flown
R0993,328,79,reserved
R0994,142,79,waitlist
R0995,355,79,flown
R0996,395,79,waitlist
R0997,83,80,waitlist
R0998,142,80,waitlist
R0999,196,80,reserved
R1000,31,80,reserved
R1001,417,80,reserved
R1002,226,80,reserved
R1003,476,80,reserved
R1004,202,80,reserved
R1005,252,80,reserved
R1006,277,80,waitlist
R1007,112,80,waitlist
R1008,55,80,flown
R1009,133,81,reserved
R1010,38,81,reserved
R1011,373,81,reserved
R1012,229,81,reserved
R1013,255,81,reserved
R1014,328,81,reserved
R1015,20,81,waitlist
R1016,137,81,reserved
R1017,169,81,flown
R1018,295,81,reserved
R1019,363,81,flown
R1020,252,81,reserved
R1021,207,81,flown
R1022,400,81,flown
R1023,36,81,reserved
R1024,197,82,flown
R1025,419,82,waitlist
R1026,63,82,reserved
R1027,479,82,flown
R1028,171,82,waitlist
R1029,206,82,reserved
R1030,491,82,waitlist
R1031,188,82,reserved
R1032,492,82,reserved
R1033,431,82,reserved
R1034,332,83,reserved
R1035,284,83,reserved
R1036,197,83,waitlist
R1037,154,83,waitlist
R1038,459,83,reserved
R1039,353,83,reserved
R1040,44,83,flown
R1041,225,83,waitlist
R1042,72,83,reserved
R1043,13,83,waitlist
R1044,304,83,reserved
R1045,200,83,reserved
R1046,330,84,reserved
R1047,274,84,flown
R1048,416,84,reserved
R1049,9,84,reserved
R1050,29,84,reserved
R1051,370,84,reserved
R1052,61,84,reserved
R1053,335,84,waitlist
R1054,235,84,flown
R1055,446,84,flown
R1056,77,84,waitlist
R1057,120,84,flown
R1058,19,84,waitlist
R1059,251,84,waitlist
R1060,465,85,flown
R1061,24,85,reserved
R1062,333,85,reserved
R1063,89,85,waitlist
R1064,464,85,reserved
R1065,407,85,reserved
R1066,313,85,reserved
R1067,303,85,reserved
R1068,419,85,reserved
R1069,255,85,reserved
R1070,316,85,reserved
R1071,412,85,reserved
R1072,173,85,flown
R1073,348,86,reserved
R1074,62,86,flown
R1075,295,86,reserved
R1076,165,86,flown
R1077,407,86,reserved
R1078,24,86,reserved
R1079,172,86,reserved
R1080,141,86,reserved
R1081,213,86,reserved
R1082,190,86,reserved
R1083,225,86,reserved
R1084,298,86,reserved
R1085,52,86,waitlist
R1086,324,86,waitlist
R1087,399,86,reserved
R1088,42,87,reserved
R1089,92,87,flown
R1090,362,87,waitlist
R1091,455,87,reserved
R1092,356,87,flown
R1093,396,87,reserved
R1094,65,87,reserved
R1095,328,87,reserved
R1096,231,87,reserved
R1097,481,87,reserved
R1098,355,87,reserved
R1099,93,87,waitlist
R1100,314,87,flown
R1101,424,88,waitlist
R1102,179,88,reserved
R1103,286,88,reserved
R1104,61,88,flown
R1105,49,88,waitlist
R1106,442,88,waitlist
R1107,277,88,reserved
R1108,238,88,waitlist
R1109,338,88,reserved
R1110,28,88,reserved
R1111,408,88,reserved
R1112,433,88,flown
R1113,243,88,reserved
R1114,82,88,waitlist
R1115,23,88,reserved
R1116,146,89,reserved
R1117,129,89,reserved
R1118,413,89,flown
R1119,233,89,reserved
R1120,380,89,reserved
R1121,276,89,reserved
R1122,403,89,reserved
R1123,264,89,reserved
R1124,459,89,reserved
R1125,228,89,reserved
R1126,167,89,reserved
R1127,383,89,waitlist
R1128,118,90,waitlist
R1129,167,90,reserved
R1130,122,90,waitlist
R1131,446,90,reserved
R1132,457,90,reserved
R1133,242,90,reserved
R1134,28,90,flown
R1135,75,90,reserved
R1136,313,90,reserved
R1137,199,90,reserved
R1138,235,90,waitlist
R1139,324,90,reserved
R1140,104,91,reserved
R1141,17,91,waitlist
R1142,31,91,reserved
R1143,57,91,flown
R1144,235,91,reserved
R1145,390,91,reserved
R1146,454,91,reserved
R1147,81,91,waitlist
R1148,327,91,flown
R1149,464,91,reserved
R1150,497,91,reserved
R1151,118,91,reserved
R1152,251,92,flown
R1153,111,92,reserved
R1154,429,92,reserved
R1155,8,92,waitlist
R1156,377,92,flown
R1157,127,92,reserved
R1158,297,92,reserved
R1159,475,92,reserved
